Country,Year,Population
Australia,1933,6640721
Australia,1934,6691798
Australia,1935,6742542
Australia,1936,6795622
Australia,1937,6853042
Australia,1938,6915804
Australia,1939,6982906
Australia,1940,7052010
Australia,1941,7119446
Australia,1942,7184210
Australia,1943,7250310
Australia,1944,7322420
Australia,1945,7401873
Australia,1946,7491676
Australia,1947,7600507
Australia,1948,7749066
Australia,1949,7949150
Australia,1950,8177342
Australia,1951,8412604
Australia,1952,8620970
Australia,1953,8816902
Australia,1954,9011190
Australia,1955,9210908
Australia,1956,9419268
Australia,1957,9635828
Australia,1958,9856949
Australia,1959,10076741
Australia,1960,10289707
Australia,1961,10493555
Australia,1962,10691689
Australia,1963,10894270
Australia,1964,11115211
Australia,1965,11363313
Australia,1966,11643451
Australia,1967,11949357
Australia,1968,12265087
Australia,1969,12568300
Australia,1970,12842907
Australia,1971,13084157
Australia,1972,13296872
Australia,1973,13486438
Australia,1974,13662048
Australia,1975,13831206
Australia,1976,13994623
Australia,1977,14152065
Australia,1978,14309298
Australia,1979,14473242
Australia,1980,14649114
Australia,1981,14838494
Australia,1982,15041065
Australia,1983,15257358
Australia,1984,15487214
Australia,1985,15729643
Australia,1986,15986164
Australia,1987,16254935
Australia,1988,16527430
Australia,1989,16792294
Australia,1990,17041431
Australia,1991,17271874
Australia,1992,17485948
Australia,1993,17687479
Australia,1994,17882737
Australia,1995,18076743
Australia,1996,18271685
Australia,1997,18467588
Australia,1998,18665045
Australia,1999,18864112
Australia,2000,19065837
Australia,2001,19268533
Australia,2002,19475191
Australia,2003,19696972
Australia,2004,19948429
Australia,2005,20238903
Australia,2006,20573606
Australia,2007,20946664
Australia,2008,21342493
Australia,2009,21739040
Australia,2010,22120064
Australia,2011,22479799
Australia,2012,22821849
Australia,2013,23150729
Australia,2014,23474668
Australia,2015,23799556
Australia,2016,24125848
Australia,2017,24450561
Australia,2018,24772247
Australia,2019,25088636
Japan,1800,30294378
Japan,1801,30329275
Japan,1802,30364211
Japan,1803,30399188
Japan,1804,30434206
Japan,1805,30469263
Japan,1806,30504361
Japan,1807,30539500
Japan,1808,30574679
Japan,1809,30609898
Japan,1810,30645903
Japan,1811,30681067
Japan,1812,30716134
Japan,1813,30751104
Japan,1814,30785976
Japan,1815,30820751
Japan,1816,30855427
